feature,vif
quote_asset_volume,9.571680024626673
rolling_return_std_6,8.709788205920464
return_12,7.407583143467827
bb_position,7.403506938702982
bb_width,7.373171122338999
volume_std_24,7.257533406794724
return_6_lag_1,6.887831811465307
open,6.820137904931256
momentum_6,6.291886586487705
macd_hist,5.741295498272797
macd,5.591041595292584
return_24,5.478509084644205
return_6_lag_3,4.962650041570743
body_size,3.929162789001645
is_weekend,3.888967348036682
rolling_return_kurt_24,3.3212133926339873
volume_zscore_24,3.13233394349196
number_of_trades,3.1276019151992536
lower_shadow,2.7132927129892055
dow_sin,2.705695941687484
rolling_return_kurt_48,2.66851323566859
rolling_return_skew_24,2.666059949773423
return_1,2.5669236709669336
rolling_return_skew_12,2.3483445434386114
return_1_lag_1,2.322567430766684
return_1_lag_2,2.2490686697767797
rolling_return_kurt_12,2.0441814096107334
volume_zscore_24_lag_1,1.9632559797814326
rolling_return_skew_48,1.8464067071584422
volume_return,1.688266120964559
volume_zscore_24_lag_2,1.558817758262318
rolling_return_skew_6,1.4853311354081695
return_1_lag_3,1.401035991784692
volume_zscore_24_lag_3,1.3918522563763676
rolling_return_kurt_6,1.2847895882324187
dow_cos,1.146897825112034
hour_sin,1.1220375824465583
hour_cos,1.0829134180270774
