number,value,state,params_activation,params_batch_size,params_clip_grad_norm,params_dropout,params_hidden_dim_1,params_hidden_dim_2,params_hidden_dim_3,params_hidden_dim_4,params_hidden_dim_5,params_lr,params_n_layers,params_optimizer,params_scaler_type,params_use_batchnorm,params_weight_decay
0,0.38105101263184454,COMPLETE,relu,32,1.3188625250081478,0.15144949407566133,288,224,32.0,64.0,96.0,0.0017666964164926905,5,adam,robust,False,1.6141048036518404e-06
1,0.3906354911538673,COMPLETE,relu,128,2.09070438329151,0.3056079704072901,224,384,192.0,,,0.0004073579971527264,3,adamw,robust,False,0.0004275075510840848
2,0.39158937044518277,COMPLETE,leaky_relu,128,2.4989204548419788,0.17878956528535783,448,512,480.0,192.0,,0.00016081696407921773,4,adam,robust,False,4.663106804020776e-07
3,0.36978167097328407,COMPLETE,gelu,128,2.70265381171799,0.42139145359761115,192,192,288.0,32.0,160.0,0.0005389817357504753,5,adamw,robust,True,2.1587870611901468e-07
4,,FAIL,leaky_relu,64,4.30239424794086,0.4716394116678637,96,480,480.0,,,1.8728720841239093e-05,3,adamw,robust,True,3.4011764253422046e-05
5,0.39350144548090177,COMPLETE,relu,32,0.6276495024983375,0.040456551864980095,384,512,192.0,160.0,448.0,4.680077818280909e-05,5,adamw,standard,False,4.343712746093754e-06
6,0.374307469846481,PRUNED,relu,256,3.393955791661423,0.40437131735033105,320,128,,,,0.002331534553502882,2,adam,robust,True,2.7451064169439225e-07
7,0.3775867444414069,PRUNED,relu,64,2.789373382451584,0.16635203924111858,64,64,224.0,256.0,480.0,1.007245875218627e-05,5,adam,standard,False,6.891643110298046e-05
8,0.3763792222536541,PRUNED,relu,128,3.0607308861292717,0.4634294309125163,384,352,384.0,224.0,,7.147032156971482e-05,4,adam,robust,True,5.368548657967529e-07
9,0.36950563357445676,PRUNED,relu,256,1.548545014077264,0.2245874752147718,192,288,,,,8.000828471856373e-05,2,adam,robust,True,1.9623898505003515e-05
10,0.3547334700626109,PRUNED,leaky_relu,256,4.796776717293971,0.3874533882033411,224,288,416.0,128.0,448.0,0.00027439907109401423,5,adam,robust,False,1.4270763304267162e-07
11,0.3708511061409788,PRUNED,gelu,32,0.8150877415020534,0.005550137006911884,512,512,64.0,,,1.5892430188138028e-05,3,adamw,standard,False,6.1355686322250515e-06
12,0.3776394603706549,PRUNED,leaky_relu,32,4.145741474444134,0.011352174302653825,480,512,320.0,448.0,,5.4922270560249904e-05,4,adamw,standard,False,2.9211702376929784e-06
13,0.3528886265334547,PRUNED,leaky_relu,64,0.567455906687043,0.12275920556990724,416,416,480.0,192.0,,0.007771279445275827,4,adamw,standard,False,9.72136094853114e-07
14,0.3706865585469178,PRUNED,leaky_relu,128,1.978881556753538,0.08545775580724105,448,448,160.0,384.0,,3.3286829288856694e-05,4,adamw,standard,False,1.9972142075819572e-05
15,0.3941217673633283,COMPLETE,leaky_relu,32,3.8221418251072468,0.25737282781896126,352,480,128.0,,,0.00016127587660521436,3,adam,standard,False,6.586934409600648e-06
16,0.3710566252831934,PRUNED,gelu,32,4.024840937009628,0.31413816583886933,352,448,128.0,,,2.9036790236404286e-05,3,adamw,standard,False,9.710094290304552e-05
17,0.3849110357017094,PRUNED,leaky_relu,32,3.6627383590155524,0.28026539143453955,96,352,96.0,,,0.0001370145737408949,3,adamw,standard,False,5.922532728824902e-06
18,0.39278670773601976,COMPLETE,leaky_relu,32,4.8461559211270515,0.22948192180208848,352,448,,,,0.0010117277027175365,2,adam,standard,False,4.747156357879507e-05
19,0.37574377999985675,PRUNED,relu,32,4.180734904127759,0.06642572882403583,288,320,224.0,,,0.0001711800219505741,3,adam,standard,True,0.0008527674875179516
20,0.3775537334947466,PRUNED,gelu,32,1.0630001130939393,0.3499518916778899,384,480,,,,3.0875105312024324e-05,2,adamw,standard,False,2.3832680722217447e-06
21,0.3963765090422494,COMPLETE,relu,64,1.8286187264221057,0.21313271749821694,128,384,128.0,320.0,320.0,0.0007545084972432487,5,adam,standard,False,1.548191629396424e-05
22,0.3772740051446568,PRUNED,relu,64,1.833649649527986,0.2520495652340191,32,416,128.0,352.0,320.0,0.0007549129950441475,5,adam,standard,False,1.520762716409577e-05
23,0.3954787133760186,PRUNED,relu,64,2.325197967740597,0.05565910561851767,128,384,192.0,320.0,320.0,0.00024889293690150285,5,adam,standard,False,6.48546970429337e-06
24,0.36497783122538796,PRUNED,relu,64,1.1546110797003324,0.19478342680998068,128,480,96.0,512.0,,0.005014773921683913,4,adam,standard,False,4.303710638615842e-05
25,0.3762307211896927,PRUNED,relu,64,3.13425323284367,0.12256629523759743,256,416,256.0,128.0,384.0,0.0012905520115742864,5,adam,standard,False,0.00020623482454898312
